USAGE_DATE,STORAGE_TB,STAGE_TB,FAILSAFE_TB,TOTAL
2023-01-11,275.693860332,0.7244393677,143.183998766,419.602298466
2022-03-31,225.303527501,0.06062407373,126.405891735,351.77004331
2022-04-01,227.599344725,0.0607133682,127.330746407,354.9908045
2022-04-02,226.041626484,0.06025606949,127.110908198,353.212790752
2022-04-03,226.725895599,0.05771938481,127.949598175,354.733213159
2022-04-04,232.115361261,0.05708376138,127.806649863,359.979094885
2022-04-05,229.502175671,0.05337321132,132.027905583,361.583454465
2022-04-06,229.209096853,0.05745226072,133.413225086,362.6797742
2022-04-07,231.992801481,0.05706601988,134.39085294,366.440720441
2022-04-08,233.03844483,0.05647698578,135.297677502,368.392599318
2022-04-09,230.335597211,0.05651061694,135.529677891,365.921785719
2022-04-10,231.241023957,0.056530889,135.247058266,366.544613112
2022-04-11,235.00155719,0.05639703884,136.702398494,371.760352723
2022-04-12,229.976861022,0.05647145309,140.03727524,370.070607715
2022-04-13,229.16726684,0.056530124,139.963313394,369.187110358
2022-04-14,228.395907154,0.05659995211,139.944208714,368.396715821
2022-04-15,227.839629185,0.05620840259,138.85463191,366.750469497
2022-04-16,226.7949359,0.05676740305,137.39641175,364.248115053
2022-04-17,227.628649208,0.05700600636,136.654074293,364.339729507
2022-04-18,231.044143341,0.0568302913,135.149618661,366.250592293
2022-04-19,231.03083692,0.05693074339,129.608365934,360.696133597
2022-04-20,230.589480423,0.05700100802,127.711131859,358.357613291
2022-04-21,232.014572248,0.06303583242,127.040554752,359.118162832
2022-04-22,232.441473766,0.06294385552,127.125281821,359.629699443
2022-04-23,232.615475168,0.1044635702,127.513046462,360.2329852
2022-04-24,234.56819039,0.1796835556,128.851542752,363.599416698
2022-04-25,239.087085842,0.2081540792,131.870411094,371.165651015
2022-04-26,238.820400947,0.2071426377,134.213648624,373.241192209
2022-04-27,238.246836844,0.2058146347,136.41342007,374.866071549
2022-04-28,239.205166944,0.2069976472,138.789493222,378.201657813
2022-04-29,245.473276921,0.2075690444,139.836707018,385.517552984
2022-04-30,238.760193015,0.2064881224,147.521849945,386.488531082
2022-05-01,237.661818445,0.2062447458,150.377555998,388.24561919
2022-05-02,239.887488151,0.2064731578,151.628753867,391.722715176
2022-05-03,239.337988144,0.2055851865,152.570459245,392.114032576
2022-05-04,238.652342214,0.2003322629,150.722472228,389.575146705
2022-05-05,236.975604152,0.1968222682,150.299578755,387.472005175
2022-05-06,237.05328264,0.1992682832,149.121398691,386.373949613
2022-05-07,236.116288051,0.1994326815,141.82282713,378.138547862
2022-05-08,236.10185883,0.1990345463,137.956444892,374.257338269
2022-05-09,240.538340375,0.2059294486,134.591221029,375.335490853
2022-05-10,240.438158751,0.131221323,132.471485068,373.040865142
2022-05-11,239.815860055,0.07412306445,132.187712743,372.077695863
2022-05-12,240.646935212,0.07625137547,131.936250034,372.659436622
2022-05-13,240.946033672,0.07569972231,133.31919437,374.340927764
2022-05-14,242.379324646,0.0746911828,134.384875895,376.838891723
2022-05-15,243.739601595,0.07546395975,137.826726582,381.641792136
2022-05-16,243.571444068,0.07758566653,143.437073725,387.08610346
